Number,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Play
420,Ryan Anderson,HOU,31,2,1,1,7,2.5,1,3.5,28.6,0.5,2.5,20,0,0,0,0,3.5,3.5,1,0.5,0.5,0,0.5,9.2,0,0,3.5,No
420,Udonis Haslem,MIA,39,2,2,0,5.4,2.5,0.5,0.5,100,0,0,0,1.5,2,75,0,1.5,1.5,0,0,0,0,1.5,4.3,0,0,-3.5,No
426,Chris Chiozza,BKN,24,14,4,10,10.4,2.4,0.9,3.1,30.2,0.6,1.5,38.1,0,0,0,0,1.3,1.3,2.4,0.7,0.9,0.1,0.9,9.9,0,0,4.3,No
427,Thabo Sefolosha,HOU,35,35,24,11,10.8,2.3,0.9,2.3,41.8,0.4,1.4,30.6,0,0.2,16.7,0.5,1.9,2.4,0.7,0.3,0.5,0.3,1.1,8.2,0,0,1.2,No
428,Shamorie Ponds,TOR,21,4,4,0,2.6,2.3,0.8,1.3,60,0.3,0.5,50,0.5,0.5,100,0,0.3,0.3,0.5,0,0,0.3,0.5,4.1,0,0,0,No
429,Charles Brown Jr.,ATL,23,9,1,8,4.5,2.2,0.7,2.1,31.6,0.3,1,33.3,0.6,0.6,100,0.2,0.2,0.4,0.2,0.3,0.2,0.2,0.3,4.1,0,0,3.1,No
429,Louis King,DET,20,9,3,6,6.1,2.2,0.9,2.1,42.1,0.4,1.1,40,0,0.3,0,0.1,0.8,0.9,0.6,0.2,0.2,0,1.1,4.6,0,0,2.2,No
431,Caleb Swanigan,POR,22,14,8,6,8.9,2.2,1,1.7,58.3,0,0,0,0.2,0.5,42.9,0.9,2.4,3.4,0.7,1.2,0.1,0.3,1.8,7.2,0,0,-3.4,No
432,DeMarre Carroll,SAS,33,15,7,8,9,2.2,0.6,1.9,31,0.2,0.9,23.1,0.8,1.3,60,0.5,1.6,2.1,0.7,0.7,0.1,0.1,1.3,5.9,0,0,1.3,No
432,Michael Frazier,HOU,25,5,3,2,8,2.2,0.6,1.8,33.3,0.4,1.4,28.6,0.6,0.8,75,0.2,0.4,0.6,0.2,0,0.2,0,1.6,3.8,0,0,-0.2,No
434,Derrick Walton Jr.,ATL,24,23,14,9,9.6,2.2,0.7,1.6,47.2,0.4,0.9,42.9,0.3,0.4,77.8,0.1,0.6,0.7,1,0.2,0.2,0,0.8,4.7,0,0,0.2,No
435,Jalen McDaniels,CHA,22,2,0,2,3.3,2,1,2.5,40,0,0.5,0,0,0,0,0.5,0,0.5,0,0,0,0,0,2.6,0,0,0,No
435,Oshae Brissett,TOR,21,16,12,4,7.5,2,0.8,2,37.5,0.2,0.8,23.1,0.3,0.4,83.3,0.5,0.9,1.4,0.3,0.4,0.3,0.1,1.1,4.5,0,0,0.9,No
435,Thanasis Antetokounmpo,MIL,27,15,13,2,4.1,2,0.9,1.5,56.5,0,0.2,0,0.3,0.6,44.4,0.4,0.1,0.5,0.4,0.3,0.1,0.1,0.6,3.4,0,0,-0.7,No
438,Vincent Poirier,BOS,26,17,15,2,5.8,1.9,0.8,1.6,46.4,0.1,0.1,50,0.4,0.4,85.7,0.5,1.3,1.8,0.4,0.3,0.1,0.4,1.2,5.9,0,0,-0.2,No
439,Ignas Brazdeikis,NYK,21,9,1,8,5.9,1.9,0.7,2.4,27.3,0.1,1,11.1,0.4,0.6,80,0.2,0.3,0.6,0.4,0.2,0,0.1,0.3,3.3,0,0,-1.3,No
440,Caleb Martin,CHA,24,5,0,5,6.4,1.8,0.6,2,30,0,0.6,0,0.6,1,60,0.2,0.8,1,0.6,0.6,0.2,0.4,0.6,5.1,0,0,-0.6,No
440,Justin Patton,OKC,22,5,2,3,4.8,1.8,0.8,2,40,0.2,0.8,25,0,0,0,0.2,0.8,1,0.4,0.4,0,0,0.8,3.2,0,0,-3.2,No
442,Dean Wade,CLE,23,9,1,8,5.6,1.8,0.8,1.1,70,0.2,0.3,66.7,0,0.1,0,0.2,1.4,1.7,0.1,0.3,0.2,0.3,0.8,5.3,0,0,0.3,No
443,Terance Mann,LAC,23,30,21,9,8.1,1.8,0.7,1.6,42.9,0.1,0.4,18.2,0.3,0.4,75,0.1,0.8,1,1.1,0.5,0.2,0.2,1,5.2,0,0,-0.1,No
444,Tyler Cook,CLE,22,11,3,8,3.2,1.7,0.6,0.9,70,0,0,0,0.5,0.5,83.3,0.4,0.5,0.9,0.1,0.1,0.1,0,0.4,3.1,0,0,-1.3,No
445,Jared Dudley,LAL,34,35,25,10,8.4,1.7,0.6,1.3,43.5,0.5,0.9,50,0.1,0.1,100,0.1,1,1.1,0.5,0.2,0.3,0.1,1,4.8,0,0,0,No
446,Alize Johnson,IND,23,11,8,3,4.2,1.6,0.6,1.3,50,0,0,0,0.4,0.5,66.7,0.5,0.8,1.4,0.2,0.1,0,0,0.5,3.5,0,0,0.5,No
447,BJ Johnson,ORL,24,8,4,4,5.8,1.6,0.6,2.3,27.8,0.1,0.8,16.7,0.3,0.3,100,0.1,0.6,0.8,0.3,0.4,0.3,0,0,3.3,0,0,-2.9,No
448,Rayjon Tucker,UTA,22,12,10,2,6.2,1.6,0.7,1.6,42.1,0,0.5,0,0.3,0.4,60,0.2,0.8,0.9,0.2,0.3,0.1,0,0.6,2.9,0,0,-0.7,No
449,Josh Magette,ORL,30,8,3,5,4.7,1.5,0.6,1.9,33.3,0.1,0.5,25,0.1,0.3,50,0.1,0.6,0.8,0.6,0.6,0.4,0.1,0.5,4.2,0,0,0.1,No
450,Justin Robinson,WAS,22,9,2,7,5.4,1.4,0.6,1.3,41.7,0.3,0.6,60,0,0,0,0.1,0.4,0.6,0.8,0.3,0,0.1,0.2,3.3,0,0,3.4,No
451,Moses Brown,POR,20,7,4,3,3.3,1.4,0.6,1.3,44.4,0,0,0,0.3,0.6,50,0.4,1.1,1.6,0,0.4,0.1,0,0.7,3.3,0,0,-5.1,No
452,Melvin Frazier Jr.,ORL,23,13,4,9,3.6,1.4,0.5,1.3,35.3,0.3,0.5,57.1,0.2,0.3,50,0.1,0.2,0.3,0.1,0.2,0.3,0.2,0.6,3.1,0,0,0.3,No
453,Vlatko Cancar,DEN,22,11,6,5,3.4,1.4,0.5,1,45.5,0.1,0.5,20,0.4,0.4,100,0.3,0.5,0.7,0.3,0.3,0.1,0.1,0.5,2.9,0,0,0.1,No
454,Tyson Chandler,HOU,37,25,15,10,8.8,1.4,0.6,0.7,77.8,0,0,0,0.2,0.5,46.2,1,1.6,2.6,0.2,0.3,0.2,0.3,1.3,6.2,0,0,1.3,No
455,Wenyen Gabriel,POR,22,14,4,10,6.3,1.4,0.4,1.5,28.6,0.1,0.6,11.1,0.4,0.7,60,0.4,0.5,0.9,0.3,0.4,0.4,0.3,1,4.3,0,0,-1.9,No
456,Zylan Cheatham,NOP,24,3,2,1,10.2,1.3,0.7,1.7,40,0,0.3,0,0,0,0,0.3,1.7,2,0.7,1,0,0.3,1.7,4.7,0,0,-10,No
457,Ed Davis,UTA,30,25,15,10,10.7,1.3,0.6,1.4,41.2,0,0,0,0.2,0.4,45.5,1.2,2.6,3.8,0.3,0.5,0.4,0.4,2.2,8.1,0,0,-3.5,No
458,Frank Mason,MIL,25,4,4,0,4.4,1.3,0.3,1.8,14.3,0.3,1,25,0.5,1,50,0.3,0.3,0.5,1.3,0.3,0.3,0,0.5,4.2,0,0,4.3,No
459,Stanley Johnson,TOR,23,17,13,4,5,1.2,0.5,1.6,28.6,0.1,0.7,16.7,0.2,0.2,75,0.2,0.9,1.1,0.4,0.5,0.2,0.1,0.5,3.4,0,0,-1.1,No
460,Johnathan Motley,LAC,24,9,7,2,2.1,1.2,0.4,0.7,66.7,0.1,0.1,100,0.2,0.2,100,0.1,0.3,0.4,0.6,0.4,0.3,0,0.6,3.1,0,0,-0.6,No
461,Jarred Vanderbilt,MIN,20,9,5,4,4.6,1.1,0.6,0.8,71.4,0,0,0,0,0,0,0.3,0.6,0.9,0.2,0.8,0.3,0.1,0.7,3.1,0,0,-1.9,No
462,Antonius Cleveland,DAL,26,5,3,2,4,1,0.4,1,40,0,0.2,0,0.2,0.4,50,0,0.6,0.6,0,0.2,0.2,0.2,0.4,2.7,0,0,-1.2,No
462,Devon Hall,OKC,24,5,3,2,3.9,1,0.2,1,20,0,0.4,0,0.6,0.8,75,0,0.2,0.2,0.6,0.2,0,0,0.2,1.9,0,0,4,No
462,Dewan Hernandez,TOR,23,4,4,0,2.8,1,0.3,1.3,20,0,0.3,0,0.5,0.5,100,0.5,1.3,1.8,0,0.3,0.3,0,1.5,3.6,0,0,0.3,No
462,Jeremiah Martin,BKN,23,2,2,0,5.5,1,0.5,2,25,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0.5,0,0,3.9,0,0,1.5,No
462,Jonah Bolden,PHI,24,4,4,0,3.6,1,0.5,0.8,66.7,0,0.3,0,0,0.5,0,0,0.3,0.3,0,0.5,0.3,0,1,1.6,0,0,-3,No
462,Josh Gray,NOP,26,2,1,1,11.4,1,0.5,1,50,0,0,0,0,0,0,0.5,0.5,1,1,2.5,0,0,0.5,1.2,0,0,-3.5,No
462,Justin Anderson,BKN,26,3,2,1,5.6,1,0.3,2,16.7,0,1,0,0.3,0.7,50,0,0.7,0.7,0,0,0,0.3,0.7,2.8,0,0,-2.7,No
462,Keldon Johnson,SAS,20,4,1,3,3.1,1,0.5,1.3,40,0,0,0,0,0,0,0,0.8,0.8,0,0,0,0,0,1.9,0,0,2.3,No
462,Kyle Guy,SAC,22,2,1,1,2,1,0.5,1,50,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1.5,No
462,Matt Mooney,CLE,22,2,0,2,2.3,1,0.5,1,50,0,0.5,0,0,0,0,0,0.5,0.5,0.5,0,0,0.5,0.5,3.9,0,0,1,No
462,Tariq Owens,PHX,24,2,0,2,5.3,1,0.5,2,25,0,0.5,0,0,0,0,1,0,1,0,0,0.5,0,0,3.7,0,0,-7,No
462,Yuta Watanabe,MEM,25,7,3,4,3.9,1,0.4,0.9,50,0.1,0.3,50,0,0.3,0,0.1,0.7,0.9,0,0.1,0,0.1,0.3,2.3,0,0,1.6,No
462,Zhaire Smith,PHI,20,6,2,4,4.9,1,0.3,1.7,20,0,0.5,0,0.3,0.7,50,0,0.3,0.3,0.3,0.2,0.5,0,0.5,3.2,0,0,-0.7,No
475,Malcolm Miller,TOR,26,22,19,3,5.3,0.9,0.3,1,33.3,0.2,0.7,31.3,0,0.3,16.7,0,0.6,0.6,0.4,0.1,0.2,0.1,0.5,2.9,0,0,2,No
476,Amile Jefferson,ORL,26,18,5,13,4.1,0.8,0.3,0.8,35.7,0,0,0,0.3,0.8,35.7,0.6,0.7,1.3,0.2,0.2,0.1,0.2,0.4,3.2,0,0,1,No
477,Juwan Morgan,UTA,22,11,8,3,4,0.8,0.4,0.6,57.1,0.1,0.4,25,0,0,0,0.2,0.5,0.7,0.1,0.2,0,0.1,0.3,1.9,0,0,1,No
478,John Konchar,MEM,23,5,3,2,5.9,0.8,0.4,0.8,50,0,0.4,0,0,0,0,0,0.4,0.4,0.4,0,0,0,0.2,1.9,0,0,-2.6,No
479,Daryl Macon,MIA,24,4,4,0,3.5,0.8,0.3,0.8,33.3,0.3,0.5,50,0,0,0,0,0,0,0.3,0.5,0,0,0.3,0.6,0,0,0,No
480,Brian Bowen II,IND,21,3,2,1,3.2,0.7,0.3,1.3,25,0,0.3,0,0,0,0,0,0.3,0.3,0,0,0,0.3,0,2.1,0,0,1,No
480,DaQuan Jeffries,SAC,22,3,0,3,4.1,0.7,0.3,1,33.3,0,0.3,0,0,0,0,0.3,0,0.3,0.3,0,0,0,1,1.6,0,0,1.3,No
480,Jared Harper,PHX,22,3,1,2,2.6,0.7,0.3,1.3,25,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,-3.7,No
483,Jordan Bone,DET,22,7,3,4,3.7,0.6,0.3,1.7,16.7,0,0.6,0,0,0,0,0,0.1,0.1,0.6,0.3,0,0,0.4,1.3,0,0,0.6,No
484,Khyri Thomas,DET,23,2,1,1,2.8,0.5,0,0,0,0,0,0,0.5,1,50,0,0,0,0,0,0,0,0,0.5,0,0,-2,No
485,Nigel Williams-Goss,UTA,25,9,5,4,3.1,0.4,0.1,0.8,14.3,0,0.2,0,0.2,0.2,100,0.2,0.3,0.6,0.6,0.2,0.1,0.1,0.2,2.4,0,0,0.8,No
486,Henry Ellenson,BKN,23,5,2,3,3,0.4,0.2,1.4,14.3,0,0.8,0,0,0,0,0.4,0.8,1.2,0.2,0,0,0,0.2,2.1,0,0,2.4,No
487,Paul Watson,TOR,25,4,2,2,5.6,0.3,0,1.8,0,0,0.8,0,0.3,0.5,50,0,0.8,0.8,1,0,0.3,0,0.3,3.4,0,0,1.8,No
488,Isaiah Roby,OKC,22,1,1,0,1.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,No
488,Jarrell Brantley,UTA,23,3,0,3,3.7,0,0,0,0,0,0,0,0,0,0,0,1.7,1.7,0.3,0.3,0,0.7,0.3,4.2,0,0,1.7,No
488,Josh Reaves,DAL,22,2,1,1,0.7,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.5,No
488,KZ Okpala,MIA,20,4,2,2,1.1,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,0,0,0,0.1,0,0,-1.8,No
488,Kevin Hervey,OKC,23,6,3,3,2.2,0,0,0.8,0,0,0.7,0,0,0,0,0,0.3,0.3,0.2,0,0,0,0.2,0.7,0,0,-0.7,No
