Number,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Play
256,T.J. McConnell,IND,27,49,30,19,19.3,6.8,3.1,5.9,52.6,0.1,0.2,33.3,0.6,0.7,81.8,0.5,2.2,2.7,5.4,1.3,0.7,0.2,1,19.3,2,0,0.8,No
257,Keita Bates-Diop,DEN,24,37,8,29,17.5,6.8,2.4,5.6,42.2,0.8,2.5,33,1.2,1.8,70.8,0.6,2.4,3,0.8,0.4,0.5,0.5,1,14.2,0,0,-4.5,No
258,Josh Jackson,MEM,22,4,3,1,16.5,6.8,2.5,7.3,34.5,0.8,3.3,23.1,1,1.5,66.7,0.8,2.8,3.5,0.8,1,0.8,0.3,1.8,14.1,0,0,2.8,No
259,Tyus Jones,MEM,23,51,26,25,18.9,6.7,2.8,6,46.6,0.6,1.6,38.1,0.5,0.7,76.5,0.1,1.5,1.6,4.5,0.9,0.9,0.1,0.6,17.4,0,0,-1.6,No
260,JaMychal Green,LAC,29,42,30,12,20.9,6.7,2.3,5.7,40.7,1.4,3.9,36.4,0.7,0.9,73.7,1.4,5.1,6.5,0.7,0.9,0.5,0.4,2.6,17.3,6,0,2.3,No
261,Michael Carter-Williams,ORL,28,29,11,18,17.6,6.7,2.4,5.7,42.2,0.4,1.6,26.7,1.5,1.9,76.8,0.9,2,2.9,2.5,1,1.1,0.4,1.7,17.6,0,0,-0.1,No
262,Marvin Williams,CHA,33,41,13,28,19.7,6.7,2.3,5.1,44.8,1.1,2.9,37.6,1,1.2,86,0.4,2.3,2.7,1,0.6,0.6,0.5,1.7,14.3,0,0,-2.7,No
263,Trevor Ariza,POR,34,39,17,22,26.3,6.7,2.3,5.6,41.1,1.4,3.8,35.8,0.7,0.9,80,0.7,4,4.7,1.6,0.9,1.2,0.2,2.2,17.9,0,0,-0.5,No
264,Hamidou Diallo,OKC,21,30,17,13,19.5,6.6,2.8,6.3,44.4,0.2,0.9,17.9,0.9,1.3,66.7,0.8,2.7,3.5,0.6,1,0.8,0.2,2.2,13.8,2,0,0.2,No
265,Naz Reid,MIN,20,16,4,12,10.6,6.6,2.5,6.1,41.2,1.1,3.3,32.7,0.6,0.9,64.3,0.6,1.5,2.1,0.8,0.6,0.3,0.5,2.2,12.2,0,0,1.6,No
266,Brad Wanamaker,BOS,30,49,35,14,18.7,6.5,2.2,5.1,42.6,0.5,1.5,36.1,1.7,1.8,91.1,0.3,1.7,2,2.7,1.1,0.7,0.2,1.8,14.5,0,0,2.3,No
267,Kyle Korver,MIL,38,45,38,7,16.7,6.5,2.1,5,42.4,1.7,4,41.9,0.6,0.7,83.9,0.2,1.8,2,1.2,0.8,0.4,0.2,1.3,11.8,0,0,3.1,No
268,Brandon Goodwin,ATL,24,22,8,14,13.7,6.5,2.4,6,39.1,0.8,2.6,31.6,0.9,0.9,100,0.4,2.2,2.6,1.6,1,0.5,0.1,1.4,12.9,0,0,-4.5,No
268,Wilson Chandler,BKN,32,22,9,13,20.5,6.5,2.4,5.3,45.7,1,3.2,31.4,0.6,0.7,87.5,0.3,4.2,4.5,1.2,1.1,0.6,0.4,2.1,15.4,0,0,-4.6,No
270,Chris Boucher,TOR,27,43,31,12,13,6.4,2.2,4.8,46.6,0.5,1.7,28.4,1.5,2,76.2,1.8,2.6,4.4,0.4,0.4,0.4,0.9,1.7,15.8,3,0,1.9,No
271,CJ Miles,WAS,32,10,4,6,16.1,6.4,1.9,5.9,32.2,1.1,3.5,31.4,1.5,2,75,0.4,0.8,1.2,1.2,0.4,1,0.4,1.4,13.4,0,0,-0.8,No
271,Cory Joseph,SAC,28,50,19,31,24.8,6.4,2.4,6.1,40,0.8,2.2,34.9,0.8,0.9,84.4,0.6,2.1,2.6,3.5,1.1,0.7,0.3,2,16.7,0,0,-1.5,No
273,Gary Trent Jr.,POR,21,39,18,21,16.7,6.4,2.3,5.4,42.4,1.4,3.4,41.8,0.4,0.4,87.5,0.4,1.1,1.4,0.9,0.3,0.5,0.3,1.2,11.5,0,0,-0.2,No
274,Garrison Mathews,WAS,23,15,6,9,13.1,6.2,1.5,3.3,46,1.2,2.8,42.9,1.9,2.1,90.6,0.4,1.1,1.5,0.7,0.5,0.2,0.1,1.7,9.4,0,0,3.1,No
275,Luguentz Dort,OKC,20,16,13,3,20.9,6.2,2.2,5.3,41.7,0.8,2.6,31.7,1,1.4,72.7,0.4,0.9,1.3,0.8,0.8,0.9,0.1,2.8,11,0,0,1.3,No
276,Damian Jones,ATL,24,47,13,34,16.8,6.2,2.4,3.5,69.3,0,0.1,28.6,1.3,1.8,73.8,1.4,2.4,3.8,0.6,0.6,0.4,0.8,2.8,14.8,0,0,-4.4,No
277,Meyers Leonard,MIA,27,49,34,15,20.1,6.1,2.4,4.6,52,1,2.4,42.9,0.3,0.5,65.4,0.6,4.5,5.1,1.1,0.7,0.3,0.3,2.1,14.8,2,0,1.9,No
278,Kelan Martin,MIN,24,21,8,13,17.5,6.1,2.3,6.2,37.7,0.9,3.2,26.5,0.6,0.6,100,0.3,3.1,3.4,0.5,0.6,0.3,0.3,1.9,12.2,0,0,-0.7,No
279,Royce O'Neale,UTA,26,50,32,18,29.2,6,2.2,4.8,45.2,1.2,3,40.9,0.5,0.5,85.2,0.3,4.8,5.1,2.6,0.8,0.7,0.4,2.9,18.7,2,0,4.5,No
280,Allonzo Trier,NYK,24,20,2,18,12.3,6,1.9,4.3,43.5,0.8,2.3,32.6,1.6,2,79.5,0.2,1.1,1.3,1.2,1,0.1,0.2,1.2,9.3,0,0,-3.9,No
280,Eric Mika,SAC,25,1,0,1,19,6,2,3,66.7,0,0,0,2,2,100,2,5,7,0,0,0,0,5,14.4,0,0,8,No
280,PJ Dozier,DEN,23,12,9,3,14.4,6,2.5,6,41.7,0.5,1.9,26.1,0.5,0.8,66.7,0.4,1.8,2.3,1.9,0.8,0.5,0.3,1.8,13,0,0,-1.3,No
283,Nicolo Melli,NOP,29,40,17,23,15.1,6,2.1,4.5,46.1,1.1,2.8,37.2,0.8,1,76.9,0.5,2.1,2.6,1.1,0.7,0.6,0.2,1.9,12.4,0,0,-1.9,No
284,Boban Marjanovic,DAL,31,25,13,12,9.5,5.9,2.4,4.5,54.5,0.1,0.3,25,1,1.4,70.6,1.3,3,4.2,0.4,0.7,0.2,0.2,1.4,12,3,0,2.5,No
285,Justin Jackson,DAL,24,46,29,17,16.4,5.9,2.2,5.7,39.6,0.8,2.8,30.7,0.6,0.7,84.4,0.4,2,2.4,0.7,0.2,0.2,0.1,1.1,10.6,0,0,0.3,No
286,Dwayne Bacon,CHA,24,38,9,29,17.7,5.9,2.2,6.3,35.3,0.5,1.8,28.4,0.9,1.4,66,0.4,2.1,2.5,1.3,0.9,0.6,0.1,1.4,11.9,0,0,-3.8,No
287,Frank Ntilikina,NYK,21,46,14,32,20.8,5.9,2.2,5.7,38.3,0.7,2.3,31.8,0.8,0.9,87.5,0.4,1.8,2.2,2.9,1.3,0.9,0.3,2.5,15.4,0,0,-1.9,No
288,Trey Burke,PHI,27,25,13,12,13.1,5.9,2.4,5.1,46.5,0.6,1.5,42.1,0.5,0.7,72.2,0.6,0.8,1.4,2.1,0.5,0.3,0,0.8,11.2,0,0,1.5,No
289,Jordan McLaughlin,MIN,23,16,3,13,18.4,5.9,2.3,5.5,40.9,0.8,2.6,31.7,0.6,0.9,64.3,0.2,1.4,1.6,3.4,0.8,1,0,0.9,15.2,0,0,-2.2,No
290,Willy Hernangomez,CHA,25,22,2,20,10.1,5.9,2.2,4.1,53.8,0.2,0.8,27.8,1.2,2,59.1,1.2,2.2,3.4,0.6,1,0.2,0.2,1.1,11.3,1,0,-1.8,No
291,Abdel Nader,OKC,26,35,24,11,15.6,5.9,2.1,4.5,46.8,0.8,2.3,36.3,0.9,1.1,81.1,0.3,1.2,1.5,0.7,0.8,0.4,0.3,1.3,9.9,0,0,-1.1,No
292,Georges Niang,UTA,26,44,29,15,13.8,5.8,2.1,4.5,46,1.3,3.1,42.6,0.3,0.4,83.3,0.3,1.6,1.8,0.7,0.4,0.3,0.1,1.2,9.8,0,0,-1.9,No
293,James Ennis III,PHI,29,49,31,18,15.8,5.8,2,4.6,44.2,0.8,2.2,34.9,1,1.2,78.7,1,2.1,3.1,0.8,0.6,0.5,0.3,1.7,12.4,0,0,0.3,No
294,Taj Gibson,NYK,34,49,16,33,16.7,5.8,2.6,4.6,56.4,0.1,0.2,27.3,0.6,0.8,71.1,1.8,2.6,4.3,0.9,0.7,0.5,0.4,2.1,14.4,0,0,-3.8,No
295,DeAndre' Bembry,ATL,25,43,10,33,21.3,5.8,2.4,5.3,45.6,0.3,1.5,23.1,0.6,1.1,54.2,0.8,2.7,3.5,1.9,1.4,1.3,0.4,2,16.6,2,0,-6,No
296,Denzel Valentine,CHI,26,30,10,20,12.2,5.8,2.2,5.5,40.2,1.2,3.4,35.6,0.2,0.2,100,0.1,1.8,1.9,1.1,0.7,0.7,0.2,1.3,11.6,0,0,-0.5,No
297,Skal Labissiere,POR,23,33,14,19,17.2,5.8,2.5,4.5,55.1,0.1,0.4,23.1,0.8,1,75.8,2,3.2,5.1,1.3,0.9,0.2,0.9,2.7,16.4,1,0,0.4,No
298,Tyler Johnson,PHX,27,31,11,20,16.6,5.7,2.1,5.5,38,0.8,2.7,28.9,0.8,1,75,0.3,1.4,1.7,1.6,0.8,0.4,0.3,1.4,11.3,0,0,-3.3,No
299,Mike Scott,PHI,31,52,31,21,17.5,5.7,2.1,5.1,40.1,1.2,3.4,34.3,0.5,0.5,88.9,0.8,2.6,3.4,0.6,0.4,0.3,0.1,1.3,11.5,0,0,1.5,No
300,Lonnie Walker IV,SAS,21,43,20,23,13.1,5.7,2.2,5,44.4,0.6,1.3,41.4,0.7,1,71.1,0.3,1.6,2,0.7,0.5,0.4,0.2,1.2,10.4,0,0,0.7,No
301,Solomon Hill,MEM,28,48,25,23,18.8,5.7,2,4.9,41.2,1.2,3.1,38.1,0.5,0.8,68.4,0.5,2.5,3,2,0.8,0.6,0.1,1.5,13.8,0,0,-1.1,No
302,Marco Belinelli,SAS,33,45,20,25,15,5.7,2,5.2,37.9,1,2.8,35.9,0.7,0.9,78,0.1,1.6,1.7,1.3,0.3,0.2,0,0.8,9.9,0,0,0.7,No
303,James Johnson,MIA,32,18,10,8,15.6,5.7,2.2,4.8,44.8,0.9,2.5,35.6,0.4,0.8,57.1,0.4,2.4,2.9,1.2,0.8,0.3,0.7,1.9,13.2,0,0,1.1,No
304,Frank Jackson,NOP,21,41,18,23,13,5.7,2,5.1,39.9,0.7,2.3,29.8,0.9,1.2,76,0.3,0.9,1.2,0.7,0.9,0.3,0.1,1.3,8.7,0,0,-2.1,No
305,Alex Caruso,LAL,25,47,36,11,18.6,5.6,1.9,4.6,42.1,0.7,1.9,37.1,1.1,1.3,79.4,0.2,1.6,1.8,1.8,0.9,1.1,0.3,1.7,13.6,0,0,3.7,No
306,Maurice Harkless,LAC,26,50,35,15,22.8,5.5,2.2,4.3,51.6,0.5,1.5,37,0.5,0.8,57.1,0.9,3.1,4,1,0.9,1,0.6,2.4,15.6,0,0,1.1,No
306,Mo Bamba,ORL,21,48,21,27,15,5.5,2.2,4.8,46.9,0.6,1.7,33.7,0.5,0.7,68.8,1.5,3.5,5,0.6,0.8,0.4,1.4,1.9,17.1,1,0,0.4,No
308,Robin Lopez,MIL,31,47,40,7,14.2,5.5,2.3,4.4,51.4,0.4,1.5,29,0.5,0.9,53.5,0.9,1.7,2.7,0.7,0.9,0.1,0.7,1.2,11.5,0,0,1.8,No
309,Jakob Poeltl,SAS,24,51,22,29,17.4,5.4,2.4,3.9,61.9,0,0,0,0.6,1.3,50,1.8,3.8,5.6,1.8,0.8,0.5,1.5,1.7,20.1,2,0,1.6,No
310,Dennis Smith Jr.,NYK,22,27,6,21,16,5.4,2,6.1,33.5,0.5,1.8,29.2,0.8,1.7,47.8,0.6,1.6,2.3,3,1.7,0.7,0.3,2,13.8,0,0,-5.4,No
311,Luke Kornet,CHI,24,33,11,22,14.9,5.4,2,4.9,41,0.8,2.9,27.4,0.6,0.8,73.1,0.6,1.7,2.3,0.9,0.4,0.3,0.8,1.3,12.3,0,0,-0.7,No
312,Patrick McCaw,TOR,24,27,20,7,24.6,5.3,2.1,4.6,45.6,0.7,1.9,36.5,0.4,0.5,71.4,0.4,1.6,2.1,2.3,0.9,1.1,0.1,1.6,14.1,1,0,0,No
313,Nickeil Alexander-Walker,NOP,21,40,17,23,12.5,5.3,1.9,5.6,34.2,1,2.9,34.2,0.4,0.7,60.7,0.2,1.8,2,1.9,1,0.3,0.2,1.1,10.8,0,0,-1.5,No
314,Trey Lyles,SAS,24,51,22,29,18,5.3,2,4.7,42.9,0.8,2.4,35.2,0.4,0.6,65.5,1.2,4.5,5.7,1,0.6,0.3,0.3,1.4,15,1,0,-0.7,No
315,Timothe Luwawu-Cabarrot,BKN,24,25,8,17,15.3,5.2,1.7,3.8,44.8,0.9,2,43.1,0.9,1.2,76.7,0.4,1.7,2.1,0.6,0.8,0.4,0,1.8,9.3,0,0,-4,No
316,David Nwaba,BKN,27,20,8,12,13.4,5.2,1.9,3.6,52.1,0.6,1.4,42.9,0.9,1.4,66.7,0.4,1.9,2.3,0.4,0.4,0.6,0.6,1.6,11.6,0,0,1.8,No
316,Vince Carter,ATL,43,45,13,32,15.5,5.2,1.9,5.4,34.4,1,3.6,27.8,0.5,0.6,77.8,0.2,1.9,2.1,0.9,0.6,0.4,0.5,1.6,11.2,0,0,-3,No
318,Chris Clemons,HOU,22,26,17,9,8.9,5.2,1.9,4.5,41.9,1.3,3.5,36.7,0.2,0.2,80,0.1,0.7,0.8,0.7,0.6,0.2,0.2,0.8,7.9,0,0,-1.2,No
319,Quinn Cook,LAL,26,33,26,7,11.6,5.2,2.2,4.8,44.9,0.7,1.8,39.7,0.2,0.3,66.7,0.2,1,1.2,1.1,0.7,0.3,0,0.6,8.5,0,0,2.5,No
320,Dewayne Dedmon,SAC,30,34,13,21,15.9,5.1,2,5,40.4,0.4,2.1,19.7,0.7,0.8,82.1,1.4,3.6,4.9,0.4,1.4,0.4,0.8,2.7,13.9,3,0,-0.9,No
321,Kyle Anderson,MEM,26,45,24,21,17.4,5,2.1,4.3,48.2,0.2,0.9,20.5,0.7,1.2,63.5,0.9,3,3.9,2.2,0.8,0.8,0.5,1.5,15.9,0,0,-1.6,No
322,Harry Giles III,SAC,21,24,10,14,11.3,5,2.2,4.3,52,0,0,0,0.6,0.7,87.5,0.7,2.1,2.8,1.3,0.9,0.5,0.4,2.3,12,0,0,-2.6,No
322,John Henson,CLE,29,29,7,22,14.2,5,2.1,4.1,50.8,0.2,1.1,19.4,0.6,1.1,51.5,1.1,2.8,3.9,1.5,0.7,0.6,1.1,1.9,16.2,1,0,-0.7,No
322,Kadeem Allen,NYK,27,10,3,7,11.7,5,1.9,4.4,43.2,0.5,1.6,31.3,0.7,1.1,63.6,0.2,0.7,0.9,2.1,0.8,0.5,0.2,0.7,10.5,0,0,-2.1,No
325,Wes Iwundu,ORL,25,38,16,22,18.2,5,1.6,4.3,36.6,0.5,1.5,31,1.3,1.6,82.3,0.6,2,2.5,1,0.4,0.6,0.3,1.5,11.7,0,0,-0.1,No
326,Isaiah Hartenstein,HOU,21,21,15,6,12,5,2,3,68.3,0,0.1,0,0.9,1.2,69.2,1.3,2.8,4.1,0.8,0.7,0.4,0.6,1.9,13.2,2,0,2.7,No
327,Brandon Knight,CLE,28,16,3,13,15.1,4.9,1.8,5.4,32.6,1.2,4,29.7,0.3,0.8,30.8,0.2,1.1,1.3,1.9,1,0.3,0.1,1.3,9.7,0,0,-3.1,No
328,Terrance Ferguson,OKC,21,37,21,16,25.6,4.9,1.8,4.5,39.8,1.1,3.5,32,0.2,0.3,81.8,0.5,1.1,1.6,0.9,0.7,0.6,0.3,3.2,10.2,0,0,-1.4,No
329,Pat Connaughton,MIL,27,47,42,5,18,4.9,1.9,4.3,45.3,0.7,2.1,30.7,0.4,0.5,72,0.8,3.5,4.3,1.6,0.8,0.3,0.6,1,14.3,0,0,2.3,No
330,Sterling Brown,MIL,24,35,29,6,14.6,4.9,1.7,4.7,37.2,0.8,2.4,32.1,0.7,0.9,76.7,0.7,3.1,3.8,0.9,0.8,0.5,0.1,1.1,12,1,0,3.1,No
331,Matisse Thybulle,PHI,22,44,28,16,20.2,4.9,1.7,4.2,40,1,2.7,37.8,0.5,0.8,63.9,0.5,1,1.5,1.2,0.9,1.5,0.8,2.3,14.7,0,0,0.1,No
331,Patrick Patterson,LAC,30,44,29,15,13,4.9,1.6,4,39.8,1.1,3,37.1,0.6,0.8,79.4,0.6,2,2.6,0.7,0.3,0.1,0.1,0.9,9.3,0,0,2.3,No
333,Allen Crabbe,MIN,27,33,4,29,18.1,4.9,1.8,4.9,36.2,1,3.2,30.8,0.3,0.4,71.4,0.3,1.9,2.2,0.9,0.5,0.5,0.1,1.3,10.1,0,0,-6.1,No
334,Gary Payton II,WAS,27,21,9,12,19.2,4.8,2,5,40.6,0.5,1.9,28.2,0.2,0.4,50,1.2,2.3,3.5,2.1,0.9,1.5,0.3,2.2,16.9,1,0,-6.8,No
335,Rodions Kurucs,BKN,22,32,10,22,13.2,4.8,1.8,3.6,49.1,0.8,1.7,46.3,0.4,0.7,63.6,0.5,1.9,2.4,0.9,1,0.4,0.1,1.8,9.4,0,0,-0.3,No
336,Jacob Evans,GSW,22,27,7,20,15.3,4.7,1.7,4.9,33.8,0.5,1.4,34.2,0.9,1.1,86.2,0.3,1.2,1.5,1.1,0.9,0.4,0.4,1.5,9.9,0,0,-4.1,No
337,Alen Smailagic,GSW,19,9,1,8,10.3,4.7,1.8,3.2,55.2,0.2,1,22.2,0.9,1.1,80,0.8,1.7,2.4,0.9,0.6,0.1,0.3,1.1,9.7,0,0,0.3,No
337,Daniel Gafford,CHI,21,33,12,21,12.7,4.7,2,3,67,0,0,0,0.6,1.2,52.6,1.2,1.2,2.4,0.4,0.5,0.3,1.3,1.8,12.2,0,0,-1.6,No
337,Naz Mitrou-Long,IND,26,3,2,1,14.2,4.7,2,5.3,37.5,0.7,3.7,18.2,0,0,0,0,2,2,2.3,0.7,0.3,0.3,0.3,11.9,0,0,6,No
337,Torrey Craig,DEN,29,39,29,10,17.1,4.7,1.8,4.1,44.7,0.6,2,28.6,0.5,0.7,62.1,1,2.2,3.2,0.6,0.4,0.4,0.7,2.2,12.1,2,0,-1.7,No
341,Mike Muscala,OKC,28,35,20,15,12.8,4.7,1.5,4,38.6,1.1,3.1,34.6,0.5,0.6,81.8,0.3,2.1,2.4,0.9,0.4,0.2,0.2,1.3,9.8,0,0,0.3,No
342,Isaac Bonga,WAS,20,44,15,29,17.6,4.6,1.7,3.2,54,0.3,0.8,38.9,0.9,1.2,76.5,1.1,2.2,3.3,1.1,0.7,0.7,0.3,2.3,12.4,0,0,-0.4,No
343,Yogi Ferrell,SAC,26,38,14,24,11.4,4.6,1.7,3.9,42.7,0.5,1.5,31,0.8,0.9,87.9,0.1,1,1.2,1.4,0.6,0.3,0.1,0.7,8.8,0,0,-0.4,No
344,Darius Bazley,OKC,19,51,31,20,17.5,4.6,1.7,4.5,37.9,0.6,2,30,0.6,0.9,68.9,0.4,3.4,3.8,0.6,0.8,0.4,0.7,0.9,12.4,0,0,-1.2,No
345,Cheick Diallo,PHX,23,34,12,22,9.7,4.5,1.9,2.9,64,0,0.1,50,0.7,0.9,83.3,0.6,2.1,2.7,0.5,0.6,0.2,0.2,1.1,9.3,1,0,-1.3,No
346,Edmond Sumner,IND,24,19,8,11,13.7,4.5,1.8,4.2,43.8,0.4,1.4,30.8,0.4,0.7,61.5,0.4,1,1.4,1.5,0.7,0.6,0.3,1.4,10.5,0,0,-1.1,No
347,Gabe Vincent,MIA,23,2,1,1,9.3,4.5,1.5,6,25,1.5,5,30,0,0,0,0,0.5,0.5,0.5,0,0.5,0,0.5,7.4,0,0,2.5,No
348,Cody Martin,CHA,24,37,11,26,16,4.5,1.6,3.8,43.3,0.4,1.5,25.9,0.8,1.2,66.7,0.8,2.1,2.8,1.4,0.7,0.7,0.2,1.5,11.9,0,0,-1.3,No
349,Matt Thomas,TOR,25,21,16,5,10.6,4.5,1.6,3.3,47.8,1.1,2.4,46,0.2,0.3,71.4,0.2,1,1.2,0.6,0.4,0.2,0,0.9,7,0,0,0.5,No
349,Treveon Graham,ATL,26,42,16,26,17.8,4.5,1.6,4.5,34.6,0.5,2.2,24.5,0.8,1.1,73.3,0.8,2,2.7,0.7,0.5,0.5,0,1.8,9.8,0,0,-2.9,No
351,Mario Hezonja,POR,24,37,15,22,16.3,4.4,1.5,3.9,38.4,0.4,1.3,27.1,1.1,1.3,83,0.6,3.1,3.6,0.8,0.8,0.6,0.1,2.2,11.3,1,0,-3.8,No
352,Nicolas Claxton,BKN,20,14,5,9,13.1,4.4,1.9,3.3,56.5,0.1,0.5,14.3,0.6,1.4,47.4,1.4,1.7,3.1,1.1,0.6,0.1,0.6,1,11.1,0,0,-4.2,No
353,Troy Daniels,LAL,28,37,28,9,11.5,4.4,1.6,3.9,40,1,2.7,37,0.2,0.4,69.2,0.3,0.8,1.1,0.4,0.2,0.2,0.1,0.8,6.9,0,0,0,No
354,Jaylen Nowell,MIN,20,8,1,7,11.4,4.4,1.5,4.3,35.3,0.3,2.3,11.1,1.1,1.3,90,0.3,0.6,0.9,1,0.4,0,0.1,0.8,6.9,0,0,-1.5,No
355,Marko Guduric,MEM,24,32,14,18,13.4,4.3,1.6,4.2,37,0.6,2.2,28.6,0.6,0.7,90.5,0.4,1.6,1.9,1.3,1.1,0.3,0.2,1,9.2,0,0,-1.7,No
356,Al-Farouq Aminu,ORL,29,18,7,11,21.1,4.3,1.4,4.8,29.1,0.5,2,25,1.1,1.6,65.5,1.3,3.5,4.8,1.2,0.9,1,0.4,1.5,15.3,1,0,-1.9,No
356,Dante Exum,CLE,24,30,7,23,13.4,4.3,1.6,3.4,45.6,0.3,1.1,29.4,0.9,1.2,72.2,0.3,1.5,1.8,1.1,0.9,0.4,0.2,1,8.8,0,0,-3.9,No
356,Ryan Broekhoff,DAL,29,15,9,6,10.6,4.3,1.3,3.4,39.2,1.2,2.9,41.9,0.5,0.5,87.5,0.1,2,2.1,0.5,0.3,0.3,0.3,1,8.9,0,0,0.2,No
359,Ante Zizic,CLE,23,16,2,14,10,4.3,1.8,3.1,57.1,0,0,0,0.8,0.9,86.7,0.9,2.6,3.4,0.2,0.3,0.4,0.3,1.3,10.3,1,0,0.1,No
360,Tony Bradley,UTA,22,37,24,13,10.3,4.3,1.9,3,63.6,0,0,0,0.5,0.8,61.3,1.6,2.6,4.2,0.2,0.5,0.3,0.4,2,11.2,0,0,-0.9,No
361,Wayne Ellington,NYK,32,25,4,21,14.2,4.3,1.4,4.3,33.3,1.2,3.6,32.6,0.2,0.3,75,0.1,1.5,1.6,0.9,0.6,0.4,0.1,1,8.3,0,0,-0.8,No
362,Dzanan Musa,BKN,20,35,17,18,11.5,4.2,1.4,4,36,0.4,1.9,23.1,0.9,1.3,75,0.5,1.5,2,0.9,0.8,0.4,0,0.7,8.4,0,0,-1.2,No
363,JaKarr Sampson,IND,26,18,10,8,13.8,4.2,1.9,3.3,59.3,0.1,0.6,18.2,0.2,0.6,40,0.6,1.8,2.4,0.2,0.3,0.3,0.4,1.7,9.4,0,0,0,No
364,Elie Okobo,PHX,22,41,17,24,12.9,4.2,1.4,3.4,39.7,0.5,1.4,36.8,1,1.4,67.8,0.3,1.3,1.6,2.1,0.5,0.4,0.1,1,10.4,0,0,-0.9,No
365,Theo Pinson,BKN,24,28,12,16,12.2,4.2,1.6,5.4,29.3,0.5,2.8,19.5,0.5,0.6,93.8,0.4,1.4,1.7,1.9,1.1,0.5,0.1,1.2,9.7,0,0,-1,No
